Name,Brand,Price,Old_price,Discount,Category,Model,Gender,Color,Material,Savings,Brand_Price_Diff,Price_bucket,Is_Premium_Brand
Puma Puma RebL Jr,Puma,29990.0,34990.0,14.0,Puma кроссовки,Puma Reb-L Jr,Унисекс,Черный,кожа,5000.0,0.0,Mid-range,1
Puma Hypnotic Ls,Puma,38490.0,54990.0,30.0,Puma кроссовки,Hypnotic LS,Мужчины,Белый,кожа/Текстиль,16500.0,8500.0,Premium,1
Puma Skye Clean,Puma,22490.0,39990.0,44.0,Puma кроссовки,SKYE CLEAN,Женщины,Белый,кожа,17500.0,-7500.0,Mid-range,1
Puma Puma Up,Puma,17990.0,34990.0,49.0,Puma кроссовки,PUMA UP,Мужчины,Черный,кожа,17000.0,-12000.0,Mid-range,1
Nike Air Monarch Iv,Nike,34990.0,59990.0,42.0,Nike кроссовки,AIR MONARCH IV,Мужчины,Белый,кожа,25000.0,-1400.0,Premium,1
Nike Air Monarch Iv,Nike,42490.0,59990.0,29.0,Nike кроссовки,AIR MONARCH IV,Мужчины,Белый,кожа,17500.0,6100.0,Premium,1
Nike Blazer Mid 77 Vntg,Nike,49990.0,71990.0,31.0,Nike кроссовки,BLAZER MID 77 VNTG,Мужчины,Белый,кожа,22000.0,13600.0,Premium,1
Nike W Nike Pacific,Nike,58990.0,58990.0,0.0,Nike кроссовки,W NIKE PACIFIC,Женщины,Белый,Текстиль,0.0,22600.0,Luxury,1
Us Polo Assn Reke 5Pr,U.S. Polo Assn.,9990.0,24990.0,60.0,U.S. Polo Assn. кроссовки,REKE 5PR,Женщины,Бежевый,кожа,15000.0,-10000.0,Budget,0
Nike Nike Initiator,Nike,64990.0,64990.0,0.0,Nike кроссовки,NIKE INITIATOR,Мужчины,Белый,Текстиль,0.0,28600.0,Luxury,1
Kinetix JustusSoft Tx 5Fx,Kinetix,19990.0,22990.0,13.0,Kinetix кроссовки,JUSTUS-SOFT TX 5FX,Мальчик,Черный,Текстиль,3000.0,7000.0,Mid-range,0
Nike Big Nike Low,Nike,69990.0,69990.0,0.0,Nike кроссовки,BIG NIKE LOW,Мужчины,Черный,кожа,0.0,33600.0,Luxury,1
Nike Nike Court Vision Lo,Nike,64990.0,64990.0,0.0,Nike кроссовки,NIKE COURT VISION LO,Мужчины,Черный,кожа,0.0,28600.0,Luxury,1
Nike Court Borough Low Recraft,Nike,54990.0,54990.0,0.0,Nike кроссовки,COURT BOROUGH LOW RECRAFT,Унисекс,Белый,кожа,0.0,18600.0,Luxury,1
Nike Nike Court Vision Lo Nn,Nike,64990.0,64990.0,0.0,Nike кроссовки,NIKE COURT VISION LO NN,Мужчины,Белый,кожа,0.0,28600.0,Luxury,1
Puma Puma Shuffle Puma WhiteP,Puma,29990.0,32990.0,0.0,Puma кроссовки,PUMA SHUFFLE PUMA WHITE-P,Мужчины,Белый,кожа,3000.0,0.0,Mid-range,1
Nike Nike Court Vision Lo Nn,Nike,64990.0,64990.0,0.0,Nike кроссовки,NIKE COURT VISION LO NN,Мужчины,Черный,кожа,0.0,28600.0,Luxury,1
Puma Puma 9T,Puma,39990.0,39990.0,0.0,Puma кроссовки,Puma 9-T,Женщины,Белый,кожа,0.0,10000.0,Premium,1
Puma Puma 9T,Puma,39990.0,39990.0,0.0,Puma кроссовки,Puma 9-T,Мужчины,Белый,кожа,0.0,10000.0,Premium,1
Puma Puma 9T,Puma,39990.0,39990.0,0.0,Puma кроссовки,Puma 9-T,Мужчины,Черный,кожа,0.0,10000.0,Premium,1
Puma 9T,Puma,39990.0,39990.0,0.0,Puma кроссовки,9-T,Унисекс,Черный,кожа,0.0,10000.0,Premium,1
Puma Rebound V6 Low,Puma,44990.0,44990.0,0.0,Puma кроссовки,Rebound v6 Low,Мужчины,Черный,кожа,0.0,15000.0,Premium,1
Puma Puma Shuffle,Puma,39990.0,39990.0,0.0,Puma кроссовки,PUMA SHUFFLE,Мужчины,Черный,кожа,0.0,10000.0,Premium,1
Puma Puma Up,Puma,36990.0,36990.0,0.0,Puma кроссовки,PUMA UP,Женщины,Черный,кожа,0.0,7000.0,Premium,1
Nike Nike Court Royale 2 Nn,Nike,39990.0,45990.0,13.0,Nike кроссовки,NIKE COURT ROYALE 2 NN,Мужчины,Черный,кожа,6000.0,3600.0,Premium,1
Nike Nike Court Royale 2 Nn,Nike,29990.0,45990.0,35.0,Nike кроссовки,NIKE COURT ROYALE 2 NN,Мужчины,Белый,кожа,16000.0,-6400.0,Mid-range,1
Nike Court Borough Low Recraft,Nike,54990.0,54990.0,0.0,Nike кроссовки,COURT BOROUGH LOW RECRAFT,Унисекс,Красный,кожа,0.0,18600.0,Luxury,1
Nike Nike Run Defy,Nike,39990.0,45990.0,13.0,Nike обувь,NIKE RUN DEFY,Мужчины,Белый,Текстиль,6000.0,3600.0,Premium,1
Torex Int1126Y308 6Fx,Torex,12990.0,12990.0,0.0,Torex кроссовки,INT1126Y308 6FX,Мужчины,Серый,кожа,0.0,1000.0,Budget,0
Nike W Nsw Club Flc Gx Crew  017,Nike,29990.0,39990.0,25.0,Nike свитшот,W NSW CLUB FLC GX CREW,Женщины,Dull pink,Текстиль,10000.0,-6400.0,Mid-range,1
Nike W Nsw Logo Os Track Jkt,Nike,49990.0,59990.0,17.0,Nike свитшот,W NSW LOGO OS TRACK JKT,Женщины,Черный,Текстиль,10000.0,13600.0,Premium,1
Nike M Nsw Club Hoodie Po Ft,Nike,34990.0,49990.0,30.0,Nike свитшот,M NSW CLUB HOODIE PO FT,Мужчины,Серый,Текстиль,15000.0,-1400.0,Premium,1
Nike M Nk Club Bb Po Hoodie,Nike,44990.0,49990.0,10.0,Nike свитшот,M NK CLUB BB PO HOODIE,Мужчины,Бежевый,Полиамид,5000.0,8600.0,Premium,1
Nike Nike Terra Manta  008,Nike,43990.0,64990.0,32.0,Nike кроссовки,NIKE TERRA MANTA,Мужчины,Зеленый,Текстиль,21000.0,7600.0,Premium,1
Nike Nike Sportswear Classic P,Nike,69990.0,109990.0,36.0,Nike Верхняя Одежда,Nike Sportswear Classic P,Женщины,Бежевый,Полиэстер,40000.0,33600.0,Luxury,1
Nike M Nk Club Bb Gfx Crew,Nike,34990.0,49990.0,30.0,Nike Кальсоны,M NK CLUB BB GFX CREW,Мужчины,Синий,Текстиль,15000.0,-1400.0,Premium,1
Nike M Nk Club Bb Po Chnl Ftra,Nike,37990.0,39990.0,0.0,Nike свитшот,M NK CLUB BB PO CHNL FTRA,Мужчины,Черный,Полиамид,2000.0,1600.0,Premium,1
Reebok Reebok Court Retro,Reebok,34990.0,34990.0,0.0,Reebok кроссовки,REEBOK COURT RETRO,Унисекс,Бежевый,Другие,0.0,9400.0,Premium,1
Nike Nike Sportswear Phoenix F,Nike,47990.0,54990.0,13.0,Nike свитшот,Nike Sportswear Phoenix F,Женщины,Синий,Полиэстер,7000.0,11600.0,Premium,1
Nike Nike Sportswear Phoenix F  005,Nike,44990.0,49990.0,10.0,Nike свитшот,Nike Sportswear Phoenix F,Женщины,Зеленый,Полиэстер,5000.0,8600.0,Premium,1
Nike Nike Tech,Nike,69990.0,79990.0,13.0,Nike,Nike Tech,Мужчины,Черный,Текстиль,10000.0,33600.0,Luxury,1
Nike M Nk Club Bb Po Hoodie,Nike,39990.0,49990.0,20.0,Nike свитшот,M NK CLUB BB PO HOODIE,Мужчины,Серый,Хлопок,10000.0,3600.0,Premium,1
Nike Nike Sportswear Phoenix F,Nike,47990.0,54990.0,13.0,Nike свитшот,Nike Sportswear Phoenix F,Женщины,Черный,Полиэстер,7000.0,11600.0,Premium,1
Nike M Nk Club Bb Fz Hoodie,Nike,42990.0,54990.0,22.0,Nike свитшот,M NK CLUB BB FZ HOODIE,Мужчины,Черный,Полиамид,12000.0,6600.0,Premium,1
Nike W Nike Downshifter 13  005,Nike,39990.0,54990.0,27.0,Nike обувь,W NIKE DOWNSHIFTER 13,Женщины,Синий,Текстиль,15000.0,3600.0,Premium,1
Nike Legend 10 Club FgMg,Nike,29990.0,44990.0,33.0,Nike обувь,LEGEND 10 CLUB FG/MG,Мужчины,Черный,кожа,15000.0,-6400.0,Mid-range,1
Nike Legend 10 Club Tf,Nike,32990.0,44990.0,27.0,Nike обувь,LEGEND 10 CLUB TF,Мужчины,Серый,кожа,12000.0,-3400.0,Premium,1
Nike W Nsw Nk Clsc Gx Hr Tight,Nike,24990.0,29990.0,17.0,Nike одежда,W NSW NK CLSC GX HR TIGHT,Женщины,Черный,Полиэстер,5000.0,-11400.0,Mid-range,1
Nike U Nk V Cush Crew  3P Val,Nike,9990.0,11990.0,17.0,Nike носки,U NK V CUSH CREW - 3P VAL,Унисекс,Черный,Текстиль,2000.0,-26400.0,Budget,1
Nike Nike Star Runner 4  008,Nike,29990.0,38990.0,23.0,Nike обувь,Nike Star Runner 4,Мальчик,Синий,Текстиль,9000.0,-6400.0,Mid-range,1
Nike Nike Court Shot,Nike,27990.0,49990.0,44.0,Nike кроссовки,Nike Court Shot,Мужчины,Белый,кожа,22000.0,-8400.0,Mid-range,1
Nike Nike Air Max 270,Nike,39990.0,76990.0,48.0,Nike обувь для бега,Nike Air Max 270,Женщины,Белый,Текстиль,37000.0,3600.0,Premium,1
Nike Nike Court Borough Mid 2,Nike,29990.0,42990.0,30.0,Nike кроссовки,Nike Court Borough Mid 2,Девочка,Белый,кожа,13000.0,-6400.0,Mid-range,1
Nike M Nk Tf Hd Po,Nike,44990.0,54990.0,18.0,Nike свитшот,M NK TF HD PO,Мужчины,Серый,Полиэстер,10000.0,8600.0,Premium,1
Nike Nike Gamma Force,Nike,49990.0,63990.0,22.0,Nike кроссовки,Nike Gamma Force,Женщины,Белый,кожа,14000.0,13600.0,Premium,1
Nike Nike Mc Trainer 3  005,Nike,34990.0,51990.0,33.0,Nike обувь для бега,Nike MC Trainer 3,Женщины,Зеленый,Текстиль,17000.0,-1400.0,Premium,1
Nike W Nsw Jrsy Easy Jogger,Nike,24990.0,47990.0,48.0,Nike Кальсоны,W NSW JRSY EASY JOGGER,Женщины,Черный,Текстиль,23000.0,-11400.0,Mid-range,1
Nike W Nk One Tf Jogger Pant,Nike,49990.0,64990.0,23.0,Nike Кальсоны,W NK ONE TF JOGGER PANT,Женщины,Черный,Полиэстер,15000.0,13600.0,Premium,1
Nike W Nsw Tf Synfl Nk Clsc Pf,Nike,69990.0,109990.0,36.0,Nike Верхняя Одежда,W NSW TF SYNFL NK CLSC PF,Женщины,Черный,Полиэстер,40000.0,33600.0,Luxury,1
Nike Nike Revolution 7,Nike,39990.0,41990.0,0.0,Nike обувь для бега,NIKE REVOLUTION 7,Мужчины,Серый,Текстиль,2000.0,3600.0,Premium,1
Nike Vapor 16 Club Tf  008,Nike,39990.0,41990.0,0.0,Nike обувь,VAPOR 16 CLUB TF,Мужчины,Синий,кожа,2000.0,3600.0,Premium,1
Nike Nk Ptch Train  Fa24,Nike,12990.0,14990.0,13.0,Nike аксессуары,NK PTCH TRAIN - FA24,Унисекс,Белый,Полиэстер,2000.0,-23400.0,Budget,1
Nike Nike Court Legacy,Nike,29990.0,49990.0,40.0,Nike кроссовки,Nike Court Legacy,Женщины,Белый,кожа,20000.0,-6400.0,Mid-range,1
Nike W Nike Al8,Nike,49990.0,57990.0,14.0,Nike кроссовки,W NIKE AL8,Женщины,Черный,кожа,8000.0,13600.0,Premium,1
Nike Nike Air Zoom Pegasus 41,Nike,49990.0,61990.0,19.0,Nike обувь для бега,Nike Air Zoom Pegasus 41,Женщины,Черный,Текстиль,12000.0,13600.0,Premium,1
Nike Vapor 16 Club Ic  008,Nike,29990.0,41990.0,29.0,Nike обувь,VAPOR 16 CLUB IC,Мужчины,Синий,кожа,12000.0,-6400.0,Mid-range,1
Nike Nk Heritage S Waistpack  002,Nike,15490.0,17990.0,14.0,Nike сумка,NK HERITAGE S WAISTPACK,Унисекс,Синий,nan,2500.0,-20900.0,Mid-range,1
Nike Nike Full Force Low,Nike,49990.0,63990.0,22.0,Nike кроссовки,Nike Full Force Low,Мужчины,Черный,кожа,14000.0,13600.0,Premium,1
Nike Wmns Nike Gamma Force,Nike,34990.0,63990.0,45.0,Nike кроссовки,WMNS NIKE GAMMA FORCE,Женщины,Белый,кожа,29000.0,-1400.0,Premium,1
Nike Nike Court Vision Lo Nn,Nike,49990.0,51990.0,0.0,Nike кроссовки,NIKE COURT VISION LO NN,Мужчины,Белый,кожа,2000.0,13600.0,Premium,1
Nike Nike Air Max Sc Gs,Nike,29990.0,49990.0,40.0,Nike кроссовки,NIKE AIR MAX SC (GS),Мальчик,Белый,Кожа/Текстиль,20000.0,-6400.0,Mid-range,1
Nike W Nike Court Vision Alta,Nike,49990.0,57990.0,14.0,Nike кроссовки,W NIKE COURT VISION ALTA,Женщины,Белый,кожа,8000.0,13600.0,Premium,1
Nike Dd0559010,Nike,19990.0,34990.0,43.0,Nike рюкзак,DD0559-010,Унисекс,Черный,Текстиль,15000.0,-16400.0,Mid-range,1
Nike Nike Air Max Excee Gs,Nike,39990.0,57990.0,31.0,Nike кроссовки,NIKE AIR MAX EXCEE GS,Мальчик,Белый,кожа/Текстиль,18000.0,3600.0,Premium,1
Nike Nike Air Max Invigor Prin  016,Nike,39990.0,54990.0,27.0,Nike обувь для бега,NIKE AIR MAX INVIGOR PRIN,Унисекс,Серый,Текстиль,15000.0,3600.0,Premium,1
Nike Nike Air Winflo 11  008,Nike,49990.0,70990.0,30.0,Nike обувь,NIKE AIR WINFLO 11,Мужчины,Синий,Текстиль,21000.0,13600.0,Premium,1
Nike Phantom Gx Ii Club FgMg  008,Nike,29990.0,38990.0,23.0,Nike обувь,PHANTOM GX II CLUB FG/MG,Мужчины,Синий,Синтетика,9000.0,-6400.0,Mid-range,1
Nike M Nk Tf Pant Taper,Nike,43990.0,54990.0,20.0,Nike Кальсоны,M NK TF PANT TAPER,Мужчины,Черный,Полиэстер,11000.0,7600.0,Premium,1
Nike Phantom Gx Ii Club Tf  008,Nike,21990.0,38990.0,44.0,Nike обувь,PHANTOM GX II CLUB TF,Мужчины,Синий,кожа,17000.0,-14400.0,Mid-range,1
Nike Court Borough Mid 2 Gs,Nike,29990.0,48990.0,39.0,Nike кроссовки,COURT BOROUGH MID 2 GS,Женщины,Белый,кожа,19000.0,-6400.0,Mid-range,1
Nike Nk Heritage S Waistpack,Nike,13990.0,16990.0,18.0,Nike сумка,NK HERITAGE S WAISTPACK,Унисекс,Серый,Текстиль,3000.0,-22400.0,Budget,1
Nike Wmns Nike Court Legacy Nn,Nike,29990.0,48990.0,39.0,Nike кроссовки,WMNS NIKE COURT LEGACY NN,Женщины,Белый,кожа,19000.0,-6400.0,Mid-range,1
Nike Nike Revolution 7,Nike,39990.0,49990.0,20.0,Nike обувь для бега,NIKE REVOLUTION 7,Мужчины,Белый,Текстиль,10000.0,3600.0,Premium,1
Nike Nike Air Max Solo,Nike,59990.0,70990.0,15.0,Nike кроссовки,NIKE AIR MAX SOLO,Мужчины,Белый,Текстиль,11000.0,23600.0,Luxury,1
Nike Wmns Nike Court Legacy Li,Nike,32990.0,55990.0,41.0,Nike кроссовки,WMNS NIKE COURT LEGACY LI,Женщины,Белый,кожа,23000.0,-3400.0,Premium,1
Nike Nk Df Totality Knit 7In U,Nike,19990.0,27990.0,29.0,Nike шорты,NK DF TOTALITY KNIT 7IN U,Мужчины,Серый,Полиэстер,8000.0,-16400.0,Mid-range,1
Nike W Nike Downshifter 13,Nike,38490.0,54990.0,30.0,Nike обувь для бега,W NIKE DOWNSHIFTER 13,Женщины,Черный,Текстиль,16500.0,2100.0,Premium,1
Nike M Nsw Club Jggr Jsy  017,Nike,19990.0,34990.0,43.0,Nike Кальсоны,M NSW CLUB JGGR JSY,Мужчины,Серый,Текстиль,15000.0,-16400.0,Mid-range,1
Nike Vapor 15 Club Ic,Nike,24990.0,38990.0,36.0,Nike обувь,VAPOR 15 CLUB IC,Мужчины,Черный,Полиэстер,14000.0,-11400.0,Mid-range,1
Nike W Nike Legend Essential 3  003,Nike,39990.0,45990.0,13.0,Nike обувь,W NIKE LEGEND ESSENTIAL 3,Женщины,Розовый,Текстиль,6000.0,3600.0,Premium,1
Nike Nike Downshifter 13,Nike,38490.0,54990.0,30.0,Nike обувь для бега,NIKE DOWNSHIFTER 13,Мужчины,Черный,Текстиль,16500.0,2100.0,Premium,1
Nike Legend 10 Club Ic,Nike,29990.0,35990.0,17.0,Nike обувь,LEGEND 10 CLUB IC,Мужчины,Черный,Текстиль,6000.0,-6400.0,Mid-range,1
Nike Nk Heritage Bkpk,Nike,19990.0,23590.0,15.0,Nike рюкзак,NK HERITAGE BKPK,Унисекс,Черный,Полиэстер,3600.0,-16400.0,Mid-range,1
Nike Y Nk Elmntl Bkpk  Smu Sp,Nike,9990.0,22990.0,57.0,Nike рюкзак,Y NK ELMNTL BKPK - SMU SP,Унисекс,Черный,Текстиль,13000.0,-26400.0,Budget,1
Nike U Nk Everyday Cush Crew 6,Nike,12990.0,14990.0,13.0,Nike носки,U NK EVERYDAY CUSH CREW 6,Унисекс,Черный,Текстиль,2000.0,-23400.0,Budget,1
Nike The Nike Premier Iii Fg,Nike,39990.0,71990.0,44.0,Nike обувь,THE NIKE PREMIER III FG,Мужчины,Черный,кожа,32000.0,3600.0,Premium,1
Nike Nike Legend Essential 3 N,Nike,39990.0,45990.0,13.0,Nike обувь для бега,NIKE LEGEND ESSENTIAL 3 N,Женщины,Черный,Текстиль,6000.0,3600.0,Premium,1
Nike Nike Precision Vi,Nike,34990.0,48990.0,29.0,Nike Баскетбольная Обувь,NIKE PRECISION VI,Мужчины,Белый,Текстиль,14000.0,-1400.0,Premium,1
Nike Vapor 15 Club Tf  010,Nike,34990.0,39990.0,13.0,Nike обувь,VAPOR 15 CLUB TF,Мужчины,Кремовый,Текстиль,5000.0,-1400.0,Premium,1
Nike W Nike Downshifter 13,Nike,27990.0,54990.0,49.0,Nike обувь для бега,W NIKE DOWNSHIFTER 13,Женщины,Белый,Текстиль,27000.0,-8400.0,Mid-range,1
Nike Nike Court Vintage,Nike,39990.0,48990.0,18.0,Nike кроссовки,NIKE COURT VINTAGE,Мужчины,Черный,кожа,9000.0,3600.0,Premium,1
Nike Nike Court Royale 2 Bette,Nike,36790.0,45990.0,20.0,Nike кроссовки,NIKE COURT ROYALE 2 BETTE,Женщины,Белый,кожа,9200.0,400.0,Premium,1
Nike Nk Ptch Train  Sp21,Nike,10990.0,13590.0,19.0,Nike аксессуары,NK PTCH TRAIN - SP21,Унисекс,Желтый,Синтетика,2600.0,-25400.0,Budget,1
Nike Wmns Nike Court Royale 2,Nike,34990.0,53990.0,35.0,Nike кроссовки,WMNS NIKE COURT ROYALE 2,Женщины,Белый,кожа,19000.0,-1400.0,Premium,1
Nike Nike Air Max Sc Gs,Nike,34990.0,48990.0,29.0,Nike кроссовки,NIKE AIR MAX SC (GS),Женщины,Белый,кожа,14000.0,-1400.0,Premium,1
Nike Nike Court Vision Lo Nn,Nike,34990.0,51990.0,33.0,Nike кроссовки,NIKE COURT VISION LO NN,Мужчины,Белый,кожа,17000.0,-1400.0,Premium,1
Nike W Nike Downshifter 13  005,Nike,29990.0,44990.0,33.0,Nike обувь для бега,W NIKE DOWNSHIFTER 13,Женщины,Синий,Текстиль,15000.0,-6400.0,Mid-range,1
Nike U Nk Everyday Cush Crew 3,Nike,8990.0,10990.0,18.0,Nike носки,U NK EVERYDAY CUSH CREW 3,Унисекс,Разноцветный,Текстиль,2000.0,-27400.0,Budget,1
Nike U Nk Everyday Cush Ns 3Pr,Nike,9891.0,10990.0,10.0,Nike носки,U NK EVERYDAY CUSH NS 3PR,Унисекс,Разноцветный,Текстиль,1099.0,-26499.0,Budget,1
Nike Nike Everyday Essential,Nike,11691.0,12990.0,10.0,Nike носки,Nike Everyday Essential,Унисекс,Черный,Текстиль,1299.0,-24699.0,Budget,1
Nike Nike Downshifter 13,Nike,39990.0,45990.0,13.0,Nike обувь для бега,NIKE DOWNSHIFTER 13,Мужчины,Белый,Текстиль,6000.0,3600.0,Premium,1
Nike W Nike Revolution 7,Nike,39990.0,46990.0,15.0,Nike обувь для бега,W NIKE REVOLUTION 7,Женщины,Белый,Текстиль,7000.0,3600.0,Premium,1
Nike Nike Court Borough Low Re,Nike,22490.0,39990.0,44.0,Nike кроссовки,Nike Court Borough Low Re,Мальчик,Черный,кожа,17500.0,-13900.0,Mid-range,1
Nike Wmns Nike Quest 5,Nike,39990.0,51990.0,23.0,Nike обувь для бега,WMNS NIKE QUEST 5,Женщины,Черный,Текстиль,12000.0,3600.0,Premium,1
Nike Initiator,Nike,64990.0,64990.0,0.0,Nike кроссовки,INITIATOR,Мужчины,Серый,Текстиль,0.0,28600.0,Luxury,1
Nike Nike Air Max Sc,Nike,49990.0,57990.0,14.0,Nike кроссовки,NIKE AIR MAX SC,Мужчины,Белый,кожа,8000.0,13600.0,Premium,1
Nike W Nike Court Vision Lo Nn,Nike,34990.0,51990.0,33.0,Nike кроссовки,W NIKE COURT VISION LO NN,Женщины,Белый,кожа,17000.0,-1400.0,Premium,1
Nike Court Borough Low Recraf,Nike,22490.0,39990.0,44.0,Nike кроссовки,COURT BOROUGH LOW RECRAF,Девочка,Белый,кожа,17500.0,-13900.0,Mid-range,1
Nike Nike Classic,Nike,13990.0,20990.0,33.0,Nike рюкзак,Nike Classic,Унисекс,Розовый,Полиэстер,7000.0,-22400.0,Budget,1
Nike Nike Air Max Systm,Nike,49990.0,74990.0,33.0,Nike кроссовки,NIKE AIR MAX SYSTM,Мужчины,Черный,Кожа/Текстиль,25000.0,13600.0,Premium,1
